Country,EdLevel,YearsCodePro,Salary
United Kingdom of Great Britain and Northern Ireland,Master’s degree,5.0,40205.0
Israel,Bachelor’s degree,17.0,215232.0
Netherlands,Master’s degree,6.0,49056.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,2.0,60307.0
United States of America,Bachelor’s degree,5.0,65000.0
Czech Republic,Bachelor’s degree,4.0,19224.0
Austria,Master’s degree,10.0,202623.0
Austria,Less than a Bachelors,22.0,51192.0
Italy,Master’s degree,4.0,34126.0
Canada,Less than a Bachelors,20.0,97605.0
Germany,Master’s degree,9.0,90647.0
United States of America,Bachelor’s degree,5.0,106960.0
United States of America,Master’s degree,14.0,130000.0
United States of America,Bachelor’s degree,21.0,102000.0
United States of America,Less than a Bachelors,15.0,130000.0
Israel,Less than a Bachelors,3.0,68160.0
United States of America,Bachelor’s degree,5.0,135000.0
Germany,Less than a Bachelors,25.0,106644.0
Germany,Less than a Bachelors,4.0,51192.0
Poland,Bachelor’s degree,3.0,38856.0
United States of America,Bachelor’s degree,10.0,170000.0
Norway,Bachelor’s degree,7.0,103705.0
United States of America,Master’s degree,5.0,141000.0
Other,Bachelor’s degree,3.0,55163.0
Netherlands,Bachelor’s degree,8.0,46704.0
Germany,Bachelor’s degree,2.0,63986.0
Canada,Bachelor’s degree,4.0,66372.0
France,Post grad,14.0,74651.0
United States of America,Bachelor’s degree,12.0,150000.0
Brazil,Master’s degree,20.0,24924.0
Other,Less than a Bachelors,15.0,38808.0
Germany,Bachelor’s degree,2.0,63986.0
Sweden,Bachelor’s degree,6.0,50220.0
United States of America,Master’s degree,20.0,160000.0
France,Master’s degree,10.0,87448.0
Other,Less than a Bachelors,20.0,150000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,7.0,69102.0
United States of America,Bachelor’s degree,7.0,95000.0
Spain,Bachelor’s degree,8.0,95979.0
Germany,Master’s degree,6.0,71451.0
Sweden,Bachelor’s degree,5.0,57288.0
France,Master’s degree,5.0,63986.0
France,Master’s degree,19.0,63986.0
United States of America,Master’s degree,5.0,166000.0
United Kingdom of Great Britain and Northern Ireland,Post grad,3.0,52769.0
United States of America,Bachelor’s degree,4.0,92000.0
Israel,Bachelor’s degree,6.0,143484.0
Turkey,Less than a Bachelors,7.0,12024.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,4.0,47743.0
United States of America,Master’s degree,17.0,200000.0
Italy,Bachelor’s degree,5.0,93420.0
United States of America,Less than a Bachelors,5.0,35000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,7.0,75384.0
