Country,EdLevel,YearsCodePro,Salary,lat,lon
United Kingdom,Master’s degree,5.0,40205.0,53.91477348053706,-2.8531353951805545
Israel,Bachelor’s degree,17.0,215232.0,31.4849193900197,35.003851206429005
Netherlands,Master’s degree,6.0,49056.0,52.298700374441786,5.512217100965399
United Kingdom,Bachelor’s degree,2.0,60307.0,53.91477348053706,-2.8531353951805545
United States of America,Bachelor’s degree,5.0,65000.0,45.70562800215178,-112.5994359115045
Austria,Master’s degree,10.0,202623.0,47.6139487927463,14.076158884337072
Austria,Less than a Bachelors,22.0,51192.0,47.6139487927463,14.076158884337072
Italy,Master’s degree,4.0,34126.0,42.751183052964265,12.140788372235871
Canada,Less than a Bachelors,20.0,97605.0,61.46907614534896,-98.14238137209708
Germany,Master’s degree,9.0,90647.0,51.13372269040778,10.288485092742851
United States of America,Bachelor’s degree,5.0,106960.0,45.70562800215178,-112.5994359115045
United States of America,Master’s degree,14.0,130000.0,45.70562800215178,-112.5994359115045
United States of America,Bachelor’s degree,21.0,102000.0,45.70562800215178,-112.5994359115045
United States of America,Less than a Bachelors,15.0,130000.0,45.70562800215178,-112.5994359115045
Israel,Less than a Bachelors,3.0,68160.0,31.4849193900197,35.003851206429005
United States of America,Bachelor’s degree,5.0,135000.0,45.70562800215178,-112.5994359115045
Germany,Less than a Bachelors,25.0,106644.0,51.13372269040778,10.288485092742851
Germany,Less than a Bachelors,4.0,51192.0,51.13372269040778,10.288485092742851
Poland,Bachelor’s degree,3.0,38856.0,52.14826021933187,19.31101430844868
United States of America,Bachelor’s degree,10.0,170000.0,45.70562800215178,-112.5994359115045
Norway,Bachelor’s degree,7.0,103705.0,69.15685630975351,15.468119955206761
United States of America,Master’s degree,5.0,141000.0,45.70562800215178,-112.5994359115045
Netherlands,Bachelor’s degree,8.0,46704.0,52.298700374441786,5.512217100965399
Germany,Bachelor’s degree,2.0,63986.0,51.13372269040778,10.288485092742851
Canada,Bachelor’s degree,4.0,66372.0,61.46907614534896,-98.14238137209708
France,Post grad,14.0,74651.0,42.46070432663372,-2.8766966992706267
United States of America,Bachelor’s degree,12.0,150000.0,45.70562800215178,-112.5994359115045
Brazil,Master’s degree,20.0,24924.0,-10.806773643498916,-53.05434003576711
Germany,Bachelor’s degree,2.0,63986.0,51.13372269040778,10.288485092742851
Sweden,Bachelor’s degree,6.0,50220.0,62.811484968080336,16.59626584684802
United States of America,Master’s degree,20.0,160000.0,45.70562800215178,-112.5994359115045
France,Master’s degree,10.0,87448.0,42.46070432663372,-2.8766966992706267
United Kingdom,Bachelor’s degree,7.0,69102.0,53.91477348053706,-2.8531353951805545
United States of America,Bachelor’s degree,7.0,95000.0,45.70562800215178,-112.5994359115045
Spain,Bachelor’s degree,8.0,95979.0,40.348656106226734,-3.6170206023873743
Germany,Master’s degree,6.0,71451.0,51.13372269040778,10.288485092742851
Sweden,Bachelor’s degree,5.0,57288.0,62.811484968080336,16.59626584684802
France,Master’s degree,5.0,63986.0,42.46070432663372,-2.8766966992706267
France,Master’s degree,19.0,63986.0,42.46070432663372,-2.8766966992706267
United States of America,Master’s degree,5.0,166000.0,45.70562800215178,-112.5994359115045
United Kingdom,Post grad,3.0,52769.0,53.91477348053706,-2.8531353951805545
United States of America,Bachelor’s degree,4.0,92000.0,45.70562800215178,-112.5994359115045
Israel,Bachelor’s degree,6.0,143484.0,31.4849193900197,35.003851206429005
Turkey,Less than a Bachelors,7.0,12024.0,39.06837194061471,35.116900150938406
United Kingdom,Bachelor’s degree,4.0,47743.0,53.91477348053706,-2.8531353951805545
United States of America,Master’s degree,17.0,200000.0,45.70562800215178,-112.5994359115045
Italy,Bachelor’s degree,5.0,93420.0,42.751183052964265,12.140788372235871
United States of America,Less than a Bachelors,5.0,35000.0,45.70562800215178,-112.5994359115045
United Kingdom,Bachelor’s degree,7.0,75384.0,53.91477348053706,-2.8531353951805545
Spain,Less than a Bachelors,8.0,44790.0,40.348656106226734,-3.6170206023873743
United Kingdom,Bachelor’s degree,10.0,78525.0,53.91477348053706,-2.8531353951805545
Poland,Master’s degree,20.0,76313.0,52.14826021933187,19.31101430844868
United States of America,Bachelor’s degree,3.0,110000.0,45.70562800215178,-112.5994359115045
Canada,Bachelor’s degree,4.0,66372.0,61.46907614534896,-98.14238137209708
Sweden,Master’s degree,4.0,81672.0,62.811484968080336,16.59626584684802
Italy,Less than a Bachelors,12.0,21120.0,42.751183052964265,12.140788372235871
Canada,Bachelor’s degree,5.0,78084.0,61.46907614534896,-98.14238137209708
United States of America,Bachelor’s degree,5.0,98000.0,45.70562800215178,-112.5994359115045
United States of America,Bachelor’s degree,24.0,144000.0,45.70562800215178,-112.5994359115045
